ID,IDADE,NOTA_MATEMATICA,NOTA_REDACAO,ESTADO_CIVIL
57,46,349.0,348.0,Solteiro
58,16,691.0,861.0,Divorciado
59,21,947.0,795.0,Solteiro
60,38,859.0,754.0,Casado
61,18,361.0,884.0,Divorciado
62,21,315.0,677.0,Casado
63,23,480.0,345.0,Solteiro
64,54,785.0,431.0,Casado
65,16,591.0,672.0,Casado
66,18,649.0,649.0,Divorciado
67,18,776.0,515.0,Divorciado
68,23,504.0,624.0,Solteiro
69,18,694.0,634.0,Casado
70,23,320.0,345.0,Divorciado
71,22,610.0,435.0,Solteiro
72,21,594.0,754.0,Solteiro
73,30,935.0,350.0,Solteiro
74,19,923.0,355.0,Casado
75,30,901.0,393.0,Divorciado
76,18,409.0,681.0,Divorciado
77,19,840.0,506.0,Casado
78,22,563.0,616.0,Divorciado
79,44,312.0,541.0,Casado
80,35,588.0,557.0,Divorciado
81,23,448.0,604.0,Casado
82,25,602.0,632.0,Solteiro
83,16,572.0,646.0,Solteiro
84,47,637.0,730.0,Solteiro
85,49,898.0,305.0,Casado
86,22,940.0,570.0,Casado
87,21,805.0,377.0,Divorciado
88,23,808.0,912.0,Casado
89,17,413.0,381.0,Divorciado
90,25,405.0,346.0,Casado
91,25,600.0,799.0,Solteiro
92,17,487.0,506.0,Solteiro
93,16,712.0,814.0,Solteiro
94,23,474.0,921.0,Solteiro
95,20,322.0,556.0,Solteiro
96,19,830.0,908.0,Divorciado
97,25,453.0,861.0,Solteiro
98,33,766.0,853.0,Solteiro
99,23,798.0,449.0,Solteiro
100,59,425.0,335.0,Casado
101,16,727.0,357.0,Divorciado
102,64,579.0,348.0,Casado
103,56,735.0,743.0,Divorciado
104,19,425.0,882.0,Divorciado
105,18,517.0,385.0,Divorciado
106,16,633.0,582.0,Casado
107,27,396.0,566.0,Casado
108,55,360.0,867.0,Casado
109,20,842.0,896.0,Divorciado
110,20,657.0,682.0,Casado
111,23,605.0,730.0,Casado
112,17,559.0,854.0,Solteiro
113,23,729.0,878.0,Casado
114,22,824.0,793.0,Divorciado
115,20,686.0,466.0,Solteiro
116,23,696.0,873.0,Divorciado
117,46,929.0,809.0,Solteiro
118,19,320.0,450.0,Casado
119,23,724.0,685.0,Solteiro
120,60,862.0,733.0,Divorciado
121,20,695.0,668.0,Solteiro
122,19,476.0,843.0,Casado
123,22,773.0,786.0,Casado
124,20,847.0,613.0,Casado
125,23,384.0,590.0,Casado
126,17,911.0,423.0,Divorciado
127,18,649.0,498.0,Casado
128,22,820.0,404.0,Solteiro
129,18,877.0,556.0,Solteiro
130,22,589.0,376.0,Casado
131,20,610.0,788.0,Casado
132,16,663.0,628.0,Casado
133,33,362.0,611.0,Divorciado
134,21,412.0,726.0,Casado
135,36,552.0,463.0,Divorciado
136,17,444.0,657.0,Solteiro
137,20,720.0,808.0,Divorciado
138,19,932.0,818.0,Solteiro
139,60,610.0,616.0,Solteiro
140,17,792.0,879.0,Solteiro
141,34,871.0,626.0,Divorciado
142,39,905.0,753.0,Divorciado
143,21,571.0,372.0,Casado
144,20,385.0,415.0,Solteiro
145,23,441.0,364.0,Casado
146,42,874.0,346.0,Divorciado
147,18,827.0,369.0,Divorciado
148,47,353.0,814.0,Casado
149,18,734.0,820.0,Divorciado
150,31,593.0,509.0,Solteiro
151,60,873.0,602.0,Casado
152,23,727.0,809.0,Solteiro
153,17,760.0,313.0,Casado
154,20,464.0,508.0,Solteiro
155,60,861.0,630.0,Solteiro
156,63,687.0,716.0,Divorciado
157,23,608.0,382.0,Solteiro
158,46,437.0,871.0,Divorciado
159,20,658.0,913.0,Solteiro
160,22,625.0,833.0,Divorciado
161,18,898.0,431.0,Solteiro
162,21,642.0,591.0,Solteiro
163,17,469.0,737.0,Solteiro
164,30,326.0,866.0,Divorciado
165,25,560.0,421.0,Solteiro
166,16,649.0,737.0,Divorciado
167,18,508.0,536.0,Solteiro
168,22,845.0,465.0,Casado
169,23,531.0,327.0,Casado
170,21,733.0,871.0,Casado
171,21,435.0,755.0,Divorciado
172,21,617.0,303.0,Casado
173,18,377.0,572.0,Solteiro
174,17,607.0,919.0,Casado
175,17,790.0,707.0,Casado
176,55,648.0,490.0,Divorciado
177,62,839.0,532.0,Casado
178,16,861.0,940.0,Casado
179,16,813.0,801.0,Solteiro
180,64,681.0,802.0,Solteiro
181,23,419.0,563.0,Divorciado
182,22,634.0,902.0,Solteiro
183,23,368.0,585.0,Casado
184,43,488.0,483.0,Solteiro
185,18,778.0,418.0,Solteiro
186,19,781.0,848.0,Solteiro
187,23,559.0,382.0,Divorciado
188,21,488.0,455.0,Casado
189,57,946.0,590.0,Casado
190,20,901.0,808.0,Casado
191,23,444.0,680.0,Solteiro
192,49,921.0,641.0,Casado
193,46,530.0,377.0,Divorciado
194,18,568.0,674.0,Casado
195,17,514.0,800.0,Solteiro
196,18,751.0,377.0,Divorciado
197,48,590.0,938.0,Solteiro
198,21,447.0,664.0,Casado
199,42,376.0,779.0,Solteiro
200,31,442.0,410.0,Solteiro
201,21,763.0,945.0,Casado
202,41,560.0,812.0,Casado
203,19,653.0,469.0,Divorciado
204,18,601.0,843.0,Solteiro
205,18,549.0,780.0,Casado
206,18,604.0,606.0,Solteiro
207,18,849.0,865.0,Casado
208,20,766.0,839.0,Divorciado
209,19,733.0,357.0,Solteiro
210,48,414.0,690.0,Solteiro
211,17,733.0,855.0,Divorciado
212,20,309.0,579.0,Casado
213,58,398.0,717.0,Casado
214,44,328.0,423.0,Divorciado
215,18,445.0,874.0,Divorciado
216,43,651.0,639.0,Solteiro
217,18,610.0,626.0,Solteiro
218,19,361.0,461.0,Casado
219,22,497.0,576.0,Divorciado
220,20,651.0,358.0,Solteiro
221,22,550.0,487.0,Casado
222,21,651.0,690.0,Casado
223,33,650.0,896.0,Divorciado
224,18,770.0,381.0,Divorciado
225,21,345.0,621.0,Divorciado
226,19,847.0,438.0,Casado
227,19,568.0,392.0,Divorciado
228,22,809.0,560.0,Casado
229,20,459.0,768.0,Solteiro
230,20,431.0,685.0,Solteiro
231,36,895.0,804.0,Solteiro
232,21,607.0,813.0,Divorciado
233,18,624.0,418.0,Divorciado
234,22,833.0,641.0,Casado
235,27,436.0,589.0,Casado
236,17,853.0,459.0,Casado
237,22,309.0,583.0,Casado
238,19,701.0,865.0,Casado
239,19,793.0,314.0,Casado
240,60,828.0,804.0,Divorciado
241,19,738.0,927.0,Solteiro
242,39,701.0,430.0,Solteiro
243,19,536.0,941.0,Solteiro
244,30,633.0,529.0,Solteiro
245,30,627.0,413.0,Casado
246,55,348.0,777.0,Casado
247,17,400.0,599.0,Solteiro
248,21,725.0,805.0,Solteiro
249,16,393.0,553.0,Casado
250,19,597.0,421.0,Solteiro
251,20,361.0,582.0,Divorciado
252,63,419.0,818.0,Solteiro
253,42,345.0,501.0,Casado
254,40,501.0,596.0,Solteiro
255,20,877.0,427.0,Divorciado
256,27,600.0,401.0,Divorciado
257,18,795.0,322.0,Divorciado
258,44,724.0,628.0,Divorciado
259,32,426.0,441.0,Divorciado
260,18,555.0,501.0,Casado
261,23,395.0,403.0,Casado
262,16,745.0,583.0,Divorciado
263,17,358.0,666.0,Divorciado
264,16,732.0,578.0,Solteiro
265,17,573.0,480.0,Solteiro
266,45,345.0,410.0,Solteiro
267,21,499.0,663.0,Casado
268,34,522.0,583.0,Solteiro
269,19,523.0,927.0,Divorciado
270,20,719.0,381.0,Solteiro
271,37,339.0,771.0,Solteiro
272,19,382.0,495.0,Solteiro
273,37,849.0,854.0,Solteiro
274,22,364.0,691.0,Casado
275,17,550.0,542.0,Casado
276,31,408.0,652.0,Casado
277,46,751.0,384.0,Divorciado
278,16,424.0,518.0,Divorciado
279,51,579.0,657.0,Divorciado
280,32,759.0,473.0,Casado
281,22,343.0,574.0,Solteiro
282,16,706.0,703.0,Casado
283,19,435.0,669.0,Divorciado
284,33,370.0,931.0,Casado
285,33,382.0,448.0,Solteiro
286,58,493.0,348.0,Divorciado
287,22,743.0,461.0,Divorciado
288,16,803.0,854.0,Casado
289,22,597.0,603.0,Casado
290,19,915.0,549.0,Divorciado
291,32,749.0,834.0,Solteiro
292,20,929.0,789.0,Solteiro
293,20,491.0,564.0,Solteiro
294,21,325.0,393.0,Solteiro
295,60,882.0,934.0,Solteiro
296,16,365.0,412.0,Divorciado
297,54,629.0,838.0,Casado
298,42,301.0,542.0,Divorciado
299,33,507.0,518.0,Solteiro
300,23,580.0,814.0,Divorciado
301,18,508.0,688.0,Solteiro
302,18,898.0,772.0,Casado
303,22,383.0,469.0,Divorciado
304,23,376.0,921.0,Solteiro
305,58,531.0,684.0,Casado
306,16,399.0,893.0,Casado
307,16,661.0,494.0,Solteiro
308,18,721.0,780.0,Solteiro
309,23,414.0,709.0,Casado
310,59,808.0,761.0,Solteiro
311,19,488.0,784.0,Solteiro
312,20,332.0,786.0,Casado
313,29,357.0,451.0,Solteiro
314,32,411.0,871.0,Casado
315,42,813.0,580.0,Divorciado
316,18,349.0,663.0,Casado
317,19,589.0,820.0,Solteiro
318,27,388.0,861.0,Solteiro
319,22,759.0,803.0,Solteiro
320,21,784.0,505.0,Casado
321,17,726.0,860.0,Casado
322,58,885.0,880.0,Casado
323,20,635.0,830.0,Casado
324,38,573.0,930.0,Divorciado
325,20,507.0,859.0,Solteiro
326,22,897.0,352.0,Solteiro
327,20,306.0,874.0,Divorciado
328,28,587.0,531.0,Divorciado
329,50,833.0,594.0,Casado
330,19,465.0,818.0,Solteiro
331,18,709.0,854.0,Solteiro
332,18,768.0,634.0,Divorciado
333,35,429.0,344.0,Casado
334,35,379.0,877.0,Divorciado
335,30,762.0,541.0,Divorciado
336,23,924.0,322.0,Solteiro
337,16,302.0,948.0,Casado
338,19,524.0,815.0,Divorciado
339,26,518.0,734.0,Divorciado
340,61,748.0,487.0,Casado
341,23,380.0,410.0,Solteiro
342,21,374.0,651.0,Casado
343,19,875.0,719.0,Divorciado
344,17,766.0,833.0,Casado
345,60,442.0,813.0,Solteiro
346,18,724.0,692.0,Divorciado
347,23,415.0,793.0,Solteiro
348,21,567.0,650.0,Divorciado
349,27,720.0,752.0,Casado
350,16,670.0,526.0,Solteiro
351,43,428.0,747.0,Solteiro
352,18,906.0,609.0,Casado
353,19,814.0,925.0,Solteiro
354,19,668.0,378.0,Divorciado
355,22,513.0,391.0,Solteiro
356,52,728.0,515.0,Solteiro
357,18,696.0,892.0,Solteiro
358,63,343.0,335.0,Casado
359,16,698.0,936.0,Divorciado
360,22,329.0,935.0,Casado
361,21,909.0,949.0,Solteiro
362,20,361.0,386.0,Solteiro
363,20,694.0,769.0,Solteiro
364,23,421.0,702.0,Casado
365,22,782.0,906.0,Solteiro
366,20,512.0,624.0,Solteiro
367,61,551.0,800.0,Casado
368,19,438.0,722.0,Solteiro
369,49,689.0,417.0,Solteiro
370,20,925.0,889.0,Divorciado
371,23,755.0,710.0,Casado
372,47,341.0,404.0,Divorciado
373,23,573.0,664.0,Casado
374,27,498.0,315.0,Divorciado
375,20,403.0,795.0,Solteiro
376,22,651.0,582.0,Solteiro
377,53,500.0,897.0,Solteiro
378,21,772.0,778.0,Divorciado
379,22,381.0,505.0,Divorciado
380,17,367.0,510.0,Divorciado
381,16,615.0,379.0,Solteiro
382,19,322.0,899.0,Divorciado
383,20,810.0,323.0,Divorciado
384,46,657.0,362.0,Casado
385,17,446.0,325.0,Solteiro
386,17,558.0,321.0,Divorciado
387,27,613.0,920.0,Divorciado
388,30,857.0,877.0,Divorciado
389,17,789.0,938.0,Solteiro
390,20,945.0,655.0,Solteiro
391,20,788.0,673.0,Casado
392,16,533.0,542.0,Solteiro
393,17,530.0,826.0,Divorciado
394,62,541.0,839.0,Divorciado
395,36,912.0,668.0,Casado
396,48,536.0,617.0,Casado
397,17,669.0,523.0,Divorciado
398,63,573.0,748.0,Divorciado
399,28,350.0,885.0,Divorciado
400,16,910.0,741.0,Casado
401,20,813.0,775.0,Casado
402,48,418.0,497.0,Casado
403,19,445.0,854.0,Solteiro
404,23,568.0,385.0,Solteiro
405,20,875.0,791.0,Divorciado
406,21,630.0,513.0,Divorciado
407,19,450.0,850.0,Solteiro
408,19,337.0,402.0,Casado
409,16,675.0,756.0,Casado
410,20,493.0,374.0,Divorciado
411,53,351.0,456.0,Divorciado
412,21,854.0,395.0,Divorciado
413,40,720.0,436.0,Divorciado
414,20,551.0,586.0,Solteiro
415,28,471.0,790.0,Divorciado
416,23,812.0,391.0,Divorciado
417,18,591.0,378.0,Casado
418,48,741.0,608.0,Solteiro
419,28,398.0,313.0,Solteiro
420,21,927.0,767.0,Casado
421,26,385.0,786.0,Divorciado
422,18,604.0,464.0,Divorciado
423,21,867.0,917.0,Divorciado
424,26,442.0,448.0,Casado
425,37,869.0,442.0,Divorciado
426,17,595.0,378.0,Casado
427,19,723.0,428.0,Solteiro
428,19,611.0,944.0,Solteiro
429,19,848.0,450.0,Solteiro
430,23,639.0,534.0,Solteiro
431,63,399.0,853.0,Solteiro
432,16,685.0,885.0,Solteiro
433,41,362.0,859.0,Divorciado
434,25,799.0,324.0,Solteiro
435,17,846.0,462.0,Casado
436,35,439.0,568.0,Divorciado
437,20,799.0,428.0,Divorciado
438,19,390.0,485.0,Casado
439,18,630.0,313.0,Solteiro
440,21,598.0,447.0,Divorciado
441,19,797.0,861.0,Casado
442,20,473.0,849.0,Casado
443,23,879.0,327.0,Divorciado
444,16,306.0,346.0,Divorciado
445,25,340.0,453.0,Casado
446,20,831.0,717.0,Divorciado
447,21,402.0,765.0,Casado
448,23,454.0,697.0,Casado
449,22,571.0,586.0,Divorciado
450,21,930.0,738.0,Divorciado
451,64,333.0,882.0,Divorciado
452,22,372.0,610.0,Solteiro
453,59,519.0,855.0,Solteiro
454,22,870.0,466.0,Divorciado
455,23,907.0,377.0,Divorciado
456,20,942.0,734.0,Solteiro
457,19,474.0,905.0,Casado
458,19,799.0,899.0,Casado
459,21,386.0,900.0,Divorciado
460,47,300.0,666.0,Divorciado
461,20,346.0,792.0,Casado
462,16,535.0,314.0,Solteiro
463,16,757.0,403.0,Divorciado
464,61,756.0,821.0,Divorciado
465,18,593.0,880.0,Divorciado
466,48,790.0,314.0,Solteiro
467,22,370.0,685.0,Solteiro
468,30,855.0,454.0,Divorciado
469,23,683.0,678.0,Casado
470,18,767.0,545.0,Casado
471,38,666.0,503.0,Casado
472,16,946.0,774.0,Casado
473,19,472.0,803.0,Divorciado
474,16,427.0,577.0,Solteiro
475,19,727.0,808.0,Casado
476,19,772.0,668.0,Casado
477,16,565.0,639.0,Solteiro
478,34,464.0,348.0,Solteiro
479,17,406.0,642.0,Divorciado
480,40,711.0,424.0,Divorciado
481,44,531.0,557.0,Divorciado
482,18,306.0,338.0,Divorciado
483,59,432.0,802.0,Casado
484,17,641.0,561.0,Casado
485,45,926.0,550.0,Casado
486,23,756.0,703.0,Solteiro
487,23,724.0,924.0,Divorciado
488,23,851.0,875.0,Solteiro
489,18,811.0,819.0,Casado
490,23,933.0,464.0,Solteiro
491,17,816.0,613.0,Solteiro
492,21,473.0,842.0,Divorciado
493,16,515.0,746.0,Casado
494,23,629.0,372.0,Divorciado
495,19,523.0,859.0,Divorciado
496,16,311.0,324.0,Divorciado
497,18,901.0,775.0,Casado
498,18,742.0,538.0,Casado
499,19,334.0,917.0,Divorciado
500,18,901.0,917.0,Divorciado
