ID,HORAS_ESTUDO,NOTA_EXAME,TP_ESCOLA,ACESSO_INTERNET,Q006
242,7.0,635.8,Privada,Sim,Q
243,11.9,878.9,Pública,Não,A
244,2.9,345.4,Pública,Sim,A
245,6.4,592.9,Pública,Não,A
246,6.4,570.9,Privada,Sim,Q
247,3.8,406.9,Pública,Sim,A
248,7.9,652.4,Pública,Não,A
249,7.5,628.1,Privada,Sim,Q
250,2.0,247.1,Privada,Sim,Q
251,6.1,575.7,Pública,Não,A
252,1.1,250.6,Pública,Não,A
253,2.5,347.4,Pública,Sim,A
254,4.2,423.3,Pública,Sim,A
255,1.9,278.6,Privada,Sim,Q
256,8.3,701.7,Pública,Não,A
257,7.2,651.1,Pública,Não,A
258,5.2,430.0,Privada,Sim,Q
259,7.5,622.9,Pública,Não,A
260,9.4,853.5,Pública,Sim,A
261,4.5,502.9,Pública,Não,A
262,1.4,246.2,Pública,Sim,A
263,11.4,973.7,Pública,Sim,A
264,7.0,678.8,Pública,Não,A
265,7.7,642.3,Privada,Sim,Q
266,6.6,611.3,Pública,Sim,A
267,8.0,701.7,Pública,Não,A
268,1.3,272.5,Privada,Sim,Q
269,8.2,685.1,Pública,Não,A
270,1.7,236.3,Pública,Não,A
271,1.3,223.0,Pública,Não,A
272,2.2,277.6,Pública,Não,A
273,1.2,256.5,Pública,Sim,A
274,12.0,946.5,Pública,Não,A
275,2.5,364.2,Pública,Não,A
276,6.9,574.9,Privada,Sim,Q
277,7.3,605.9,Privada,Sim,Q
278,6.4,585.4,Privada,Sim,Q
279,6.9,576.6,Pública,Não,A
280,7.0,652.0,Pública,Sim,A
281,1.8,230.6,Pública,Não,A
282,1.8,308.6,Pública,Sim,A
283,3.9,387.1,Pública,Não,A
284,2.7,326.0,Pública,Sim,A
285,5.6,595.9,Pública,Sim,A
286,7.1,677.7,Pública,Não,A
287,1.1,271.3,Pública,Não,A
288,11.1,948.5,Pública,Sim,A
289,5.4,521.5,Pública,Não,A
290,6.4,572.4,Privada,Sim,Q
291,3.8,373.3,Pública,Não,A
292,10.0,825.5,Pública,Não,A
293,4.2,467.0,Privada,Sim,Q
294,5.2,512.6,Privada,Sim,Q
295,3.3,349.9,Privada,Sim,Q
296,9.9,857.6,Pública,Não,A
297,8.9,776.8,Pública,Sim,A
298,10.1,770.8,Pública,Sim,A
299,11.5,1000.0,Pública,Sim,A
300,5.5,541.6,Pública,Não,A
301,2.2,357.8,Pública,Sim,A
302,9.8,872.4,Pública,Sim,A
303,9.7,737.9,Pública,Sim,A
304,9.2,795.7,Privada,Sim,Q
305,1.2,259.1,Pública,Não,A
306,4.3,493.1,Pública,Não,A
307,9.8,871.9,Pública,Não,A
308,6.3,544.5,Privada,Sim,Q
309,2.8,346.5,Privada,Sim,Q
310,8.6,744.9,Privada,Sim,Q
311,5.0,529.6,Pública,Sim,A
312,1.8,300.4,Pública,Não,A
313,4.0,378.9,Pública,Sim,A
314,2.0,228.7,Pública,Sim,A
315,7.3,699.0,Pública,Não,A
316,11.7,868.1,Privada,Sim,Q
317,4.2,322.0,Pública,Não,A
318,5.5,570.9,Pública,Sim,A
319,6.3,591.7,Pública,Não,A
320,7.0,630.7,Pública,Não,A
321,5.1,478.1,Pública,Sim,A
322,10.7,941.3,Pública,Sim,A
323,6.2,619.5,Pública,Não,A
324,8.3,720.0,Privada,Sim,Q
325,8.6,742.2,Privada,Sim,Q
326,5.9,545.0,Privada,Sim,Q
327,5.2,460.7,Pública,Sim,A
328,2.8,384.4,Pública,Não,A
329,10.2,852.4,Pública,Não,A
330,1.5,313.3,Pública,Não,A
331,5.8,517.7,Pública,Não,A
332,6.6,593.2,Pública,Sim,A
333,5.3,556.6,Pública,Sim,A
334,3.7,416.7,Pública,Sim,A
335,5.5,578.4,Pública,Sim,A
336,7.6,656.6,Pública,Não,A
337,4.8,409.5,Pública,Não,A
338,4.8,520.2,Pública,Não,A
339,6.7,569.0,Pública,Sim,A
340,3.5,422.5,Pública,Não,A
341,7.4,631.3,Pública,Não,A
342,9.7,852.8,Privada,Sim,Q
343,2.8,335.7,Pública,Sim,A
344,8.0,671.6,Pública,Não,A
345,10.6,872.4,Pública,Sim,A
346,5.5,566.9,Pública,Sim,A
347,1.4,247.7,Pública,Sim,A
348,8.5,770.2,Pública,Sim,A
349,1.6,240.6,Pública,Não,A
350,1.7,263.2,Pública,Não,A
351,11.8,876.1,Pública,Sim,A
352,6.5,580.9,Pública,Sim,A
353,3.8,422.6,Privada,Sim,Q
354,5.4,604.0,Pública,Não,A
355,7.9,618.0,Pública,Sim,A
356,4.1,476.8,Pública,Sim,A
357,5.9,487.6,Pública,Sim,A
358,1.6,251.4,Pública,Não,A
359,11.1,898.1,Privada,Não,Q
360,3.1,336.7,Pública,Sim,A
361,8.2,748.8,Privada,Sim,Q
362,4.0,378.4,Privada,Sim,Q
363,10.5,892.4,Pública,Não,A
364,11.4,965.6,Pública,Não,A
365,4.0,477.3,Privada,Sim,Q
366,5.3,451.2,Pública,Sim,A
367,6.2,614.3,Pública,Não,A
368,2.3,315.1,Pública,Não,A
369,11.9,978.7,Pública,Não,A
370,1.4,253.5,Pública,Sim,A
371,9.8,904.0,Pública,Não,A
372,8.6,761.2,Pública,Não,A
373,3.7,388.2,Pública,Sim,A
374,7.1,635.5,Pública,Não,A
375,7.4,692.8,Pública,Sim,A
376,10.2,829.2,Pública,Não,A
377,7.5,670.9,Pública,Não,A
378,6.0,573.4,Privada,Sim,Q
379,5.8,546.6,Pública,Não,A
380,9.2,742.9,Pública,Não,A
381,1.2,241.8,Pública,Sim,A
382,6.6,649.9,Pública,Sim,A
383,4.3,463.4,Privada,Sim,Q
384,2.6,316.6,Privada,Sim,Q
385,1.5,289.3,Pública,Sim,A
386,11.8,1000.0,Pública,Sim,A
387,10.0,821.1,Pública,Não,A
388,2.1,287.1,Pública,Sim,A
389,4.3,380.9,Privada,Sim,Q
390,10.8,927.9,Pública,Não,A
391,5.0,424.9,Pública,Não,A
392,5.6,601.9,Pública,Sim,A
393,9.4,812.4,Privada,Sim,Q
394,10.3,983.1,Privada,Sim,Q
395,6.5,611.9,Pública,Não,A
396,9.9,850.2,Pública,Sim,A
397,1.5,302.0,Pública,Sim,A
398,8.2,692.7,Pública,Sim,A
399,10.2,863.4,Privada,Sim,Q
400,11.6,937.5,Pública,Sim,A
401,3.5,403.8,Pública,Sim,A
402,5.1,482.4,Pública,Sim,A
403,8.3,749.3,Pública,Sim,A
404,5.7,533.7,Pública,Não,A
405,1.3,282.2,Pública,Sim,A
406,10.4,846.7,Privada,Sim,Q
407,7.1,580.5,Pública,Sim,A
408,8.0,714.2,Pública,Não,A
409,2.8,341.1,Pública,Não,A
410,11.0,882.5,Pública,Não,A
411,7.4,665.7,Pública,Não,A
412,11.1,928.1,Pública,Não,A
413,7.9,703.7,Pública,Sim,A
414,3.4,361.9,Pública,Sim,A
415,7.5,694.6,Pública,Sim,A
416,3.6,394.5,Pública,Sim,A
417,9.7,801.9,Pública,Não,A
418,9.3,832.0,Pública,Sim,A
419,3.2,438.5,Pública,Sim,A
420,9.5,836.8,Pública,Não,A
421,11.0,864.1,Privada,Sim,Q
422,9.2,752.8,Pública,Sim,A
423,4.2,444.7,Pública,Sim,A
424,2.3,285.4,Pública,Não,A
425,3.9,421.3,Pública,Não,A
426,7.4,646.6,Pública,Sim,A
427,11.6,903.0,Privada,Sim,Q
428,5.3,521.6,Pública,Sim,A
429,8.8,823.4,Pública,Não,A
430,5.2,511.3,Privada,Sim,Q
431,10.3,818.1,Pública,Não,A
432,4.5,512.5,Pública,Não,A
433,1.2,207.0,Privada,Sim,Q
434,3.9,435.8,Pública,Sim,A
435,3.0,379.1,Privada,Sim,Q
436,4.2,420.7,Pública,Não,A
437,10.8,944.9,Pública,Não,A
438,9.8,822.3,Pública,Não,A
439,10.1,866.4,Pública,Sim,A
440,9.8,788.4,Privada,Sim,Q
441,4.9,366.5,Pública,Sim,A
442,7.1,601.7,Pública,Não,A
443,6.2,565.1,Pública,Sim,A
444,7.5,695.3,Pública,Não,A
445,4.2,489.2,Pública,Não,A
446,6.5,601.6,Pública,Sim,A
447,9.9,849.0,Pública,Não,A
448,3.2,415.8,Pública,Não,A
449,9.1,858.6,Pública,Não,A
450,7.0,621.1,Pública,Sim,A
451,7.3,617.9,Privada,Sim,Q
452,3.8,431.0,Pública,Sim,A
453,4.5,482.8,Pública,Sim,A
454,4.3,510.4,Pública,Sim,A
455,3.0,295.7,Pública,Não,A
456,11.3,871.8,Pública,Sim,A
457,11.6,939.3,Pública,Não,A
458,4.6,421.0,Pública,Não,A
459,7.5,612.3,Pública,Sim,A
460,1.6,326.6,Privada,Sim,Q
461,6.4,593.5,Pública,Não,A
462,11.9,1000.0,Pública,Sim,A
463,3.8,445.7,Pública,Não,A
464,1.3,315.1,Pública,Não,A
465,5.4,534.7,Pública,Não,A
466,1.3,220.1,Pública,Sim,A
467,7.1,641.1,Privada,Sim,Q
468,11.0,1000.0,Pública,Não,A
469,5.2,620.8,Pública,Não,A
470,11.4,948.3,Privada,Sim,Q
471,4.3,465.7,Privada,Sim,Q
472,6.7,548.0,Pública,Sim,A
473,3.5,431.4,Pública,Não,A
474,7.0,674.4,Pública,Sim,A
475,4.6,470.9,Pública,Sim,A
476,8.6,769.3,Pública,Sim,A
477,5.8,592.5,Pública,Não,A
478,6.6,627.4,Pública,Sim,A
479,6.6,596.2,Pública,Sim,A
480,10.4,913.6,Pública,Não,A
481,9.3,737.9,Pública,Não,A
482,1.5,279.5,Pública,Sim,A
483,11.0,895.9,Pública,Não,A
484,8.7,796.0,Privada,Sim,Q
485,10.8,904.5,Pública,Não,A
486,8.5,804.0,Pública,Sim,A
487,4.0,442.5,Pública,Sim,A
488,1.3,228.9,Pública,Não,A
489,4.9,466.4,Pública,Não,A
490,3.9,438.6,Pública,Sim,A
491,8.8,803.9,Pública,Sim,A
492,5.7,600.5,Pública,Sim,A
493,7.0,635.2,Pública,Não,A
494,11.2,945.9,Privada,Sim,Q
495,5.6,585.9,Privada,Sim,Q
496,8.9,700.9,Privada,Sim,Q
497,5.2,532.9,Pública,Sim,A
498,11.2,968.3,Pública,Não,A
499,6.4,670.5,Pública,Sim,A
500,4.1,449.2,Pública,Sim,A
