ID,TP_ESCOLA,ESTADO_CIVIL,NOTA_FINAL
369,Pública,Divorciado,879.8019827180714
370,Privada,Viúvo,482.3856902573509
371,Pública,Solteiro,509.62560794896956
372,Pública,Casado,497.99422822615855
373,Pública,Casado,383.5632202694456
374,Pública,Casado,644.0279258374485
375,Pública,Viúvo,453.16242227700275
376,Pública,Solteiro,486.1036807980372
377,Pública,Divorciado,502.8365170074062
378,Pública,Solteiro,498.3002592520139
379,Pública,Viúvo,540.291583384225
380,Pública,Solteiro,447.4334175332855
381,Privada,Solteiro,336.820953447246
382,Pública,Solteiro,496.58434185569035
383,Privada,Solteiro,381.31815897195554
384,Pública,Solteiro,423.0888905222801
385,Pública,Solteiro,628.0272378444794
386,Pública,Solteiro,668.6398359736368
387,Pública,Divorciado,394.61894787305476
388,Pública,Solteiro,590.394149907582
389,Pública,Casado,459.32644117247935
390,Pública,Solteiro,437.93723868425064
391,Privada,Solteiro,438.9585168608346
392,Pública,Solteiro,534.3358220667989
393,Privada,Solteiro,596.5587169859164
394,Pública,Solteiro,752.1797787432058
395,Pública,Solteiro,517.9340289185027
396,Pública,Casado,856.547490710774
397,Pública,Solteiro,378.67879799058846
398,Pública,Solteiro,467.88188280460963
399,Pública,Solteiro,516.6692134115017
400,Pública,Solteiro,338.31100777322285
401,Pública,Solteiro,466.52099946432736
402,Pública,Solteiro,629.9276790219833
403,Pública,Solteiro,457.7464344890859
404,Pública,Solteiro,630.9678672913315
405,Pública,Solteiro,349.60526334525343
406,Pública,Solteiro,562.8919865000319
407,Pública,Divorciado,408.33832322817574
408,Pública,Casado,543.5627407909577
409,Pública,Casado,581.0376616321794
410,Pública,Solteiro,445.0185221516229
411,Pública,Solteiro,449.40646605321285
412,Pública,Casado,728.3228114708656
413,Privada,Solteiro,450.97363747888454
414,Pública,Casado,358.4668824047645
415,Pública,Divorciado,518.2627410726859
416,Pública,Solteiro,758.7951319747515
417,Privada,Solteiro,452.92255264490495
418,Pública,Solteiro,595.9822690819376
419,Pública,Solteiro,478.1736335052915
420,Pública,Solteiro,435.97071187927645
421,Pública,Solteiro,653.4315673621657
422,Pública,Solteiro,588.771763860217
423,Pública,Casado,732.3699363024143
424,Pública,Solteiro,684.9277484759477
425,Pública,Solteiro,384.373498914047
426,Pública,Solteiro,652.978328305861
427,Pública,Solteiro,394.6565107072548
428,Pública,Solteiro,332.2645625918804
429,Pública,Divorciado,539.1856790696341
430,Privada,Casado,582.9549963515469
431,Pública,Solteiro,574.0629854389485
432,Pública,Casado,623.960275586979
433,Pública,Solteiro,519.5731239815185
434,Pública,Solteiro,654.9694974279681
435,Pública,Solteiro,458.3625225823599
436,Pública,Casado,448.0538362432443
437,Privada,Solteiro,681.2359780883296
438,Pública,Solteiro,603.1651868660505
439,Pública,Solteiro,631.1742988960021
440,Pública,Casado,597.6565348910597
441,Pública,Solteiro,674.1732723205209
442,Pública,Solteiro,458.5869431196003
443,Pública,Casado,620.9222430029416
444,Pública,Solteiro,596.8927561228398
445,Pública,Solteiro,703.4423472092969
446,Pública,Casado,421.64648276036087
447,Pública,Casado,646.0167988993111
448,Pública,Solteiro,530.8628913592888
449,Pública,Solteiro,502.88811911262115
450,Pública,Solteiro,610.6886000609454
451,Pública,Solteiro,513.523716498779
452,Privada,Casado,591.8123980595465
453,Pública,Solteiro,331.5980433115957
454,Pública,Solteiro,508.9043911116195
455,Pública,Solteiro,632.3331206514056
456,Pública,Solteiro,383.89526620070905
457,Pública,Solteiro,669.3441915172338
458,Pública,Solteiro,497.92734699539
459,Pública,Solteiro,341.76659515597163
460,Pública,Solteiro,603.9126679272213
461,Pública,Casado,909.9599950734829
462,Pública,Solteiro,663.543759851154
463,Pública,Solteiro,515.1385355017746
464,Pública,Solteiro,581.0082486509848
465,Pública,Casado,425.89068222906633
466,Pública,Solteiro,548.8945445771317
467,Pública,Casado,381.333101161169
468,Pública,Solteiro,472.50466774919573
469,Pública,Casado,754.0299169962656
470,Pública,Casado,550.1708733281562
471,Pública,Solteiro,742.2033348391152
472,Pública,Casado,333.577362966967
473,Pública,Solteiro,628.4968538378896
474,Pública,Solteiro,435.93921749267076
475,Pública,Divorciado,723.3745819431177
476,Pública,Solteiro,582.9761759011068
477,Pública,Solteiro,397.2620886760427
478,Pública,Solteiro,633.9004169001676
479,Pública,Divorciado,458.2232301631103
480,Pública,Solteiro,562.3378998990071
481,Pública,Solteiro,305.11592903834287
482,Pública,Solteiro,599.8478511600226
483,Pública,Divorciado,638.337223521317
484,Pública,Divorciado,517.5008363397377
485,Pública,Solteiro,454.85914997764587
486,Pública,Solteiro,537.1975233887489
487,Pública,Solteiro,679.1465772189358
488,Privada,Solteiro,702.2420138202524
489,Pública,Casado,431.4852560057312
490,Pública,Divorciado,316.5138290540197
491,Pública,Casado,484.26531243727084
492,Pública,Solteiro,496.1943370055316
493,Pública,Solteiro,684.9480514709363
494,Pública,Solteiro,695.703975948611
495,Pública,Solteiro,566.8779903334785
496,Pública,Casado,513.4205180315698
497,Pública,Solteiro,413.2041079597343
498,Pública,Divorciado,600.547110245142
499,Pública,Solteiro,585.6155710929089
500,Pública,Solteiro,390.1206166581102
501,Pública,Solteiro,515.6624604627503
502,Pública,Solteiro,473.3850002619389
503,Pública,Solteiro,648.986315321331
504,Pública,Casado,604.8024662994287
505,Privada,Solteiro,615.7035577326203
506,Pública,Solteiro,520.4319937795145
507,Privada,Solteiro,543.0984530734119
508,Pública,Solteiro,554.3499388437239
509,Pública,Casado,600.609795440525
510,Pública,Solteiro,818.5882340493346
511,Pública,Solteiro,517.6457892698431
512,Pública,Solteiro,208.0719499246175
513,Privada,Solteiro,512.2824850492491
514,Pública,Solteiro,634.0133943128716
515,Privada,Solteiro,476.10611581770615
516,Privada,Casado,564.8264702954566
517,Pública,Solteiro,529.2264399831107
518,Pública,Solteiro,493.3852122124906
519,Privada,Casado,313.436974506501
520,Pública,Solteiro,520.5476105658672
521,Pública,Solteiro,800.0975870581719
522,Pública,Casado,610.4322037979196
523,Privada,Solteiro,445.28748831005737
524,Pública,Solteiro,658.4459842775075
525,Pública,Solteiro,389.7505743086167
526,Pública,Casado,385.8155519924979
527,Pública,Solteiro,584.0728369176306
528,Pública,Casado,407.66157730105533
529,Pública,Solteiro,484.07104627998604
530,Pública,Solteiro,381.17507972734387
531,Pública,Casado,445.09947230741074
532,Privada,Solteiro,566.7213115143038
533,Pública,Divorciado,571.4139617198018
534,Privada,Casado,506.5525021848981
535,Pública,Solteiro,454.4080353559896
536,Pública,Solteiro,411.01466734075916
537,Pública,Casado,444.5348191078036
538,Privada,Solteiro,551.0920207253779
539,Pública,Casado,386.93678163159495
540,Pública,Casado,426.0994184200552
541,Pública,Divorciado,569.5439584284038
542,Pública,Divorciado,462.93007802260166
543,Pública,Casado,633.3726150763096
544,Pública,Solteiro,656.4553202725834
545,Privada,Divorciado,554.8065237998201
546,Pública,Divorciado,347.05016327308715
547,Pública,Solteiro,747.2710107374451
548,Pública,Solteiro,506.78281661525847
549,Pública,Solteiro,563.3114140777973
550,Pública,Casado,625.7074077341002
551,Pública,Solteiro,288.3078022232805
552,Pública,Solteiro,735.2022759559436
553,Privada,Solteiro,475.3341823460092
554,Pública,Casado,544.0213936163057
555,Privada,Solteiro,582.1938525467237
556,Pública,Solteiro,597.2618316336212
557,Pública,Solteiro,445.6412618934047
558,Pública,Solteiro,714.5736988425626
559,Pública,Solteiro,548.8072943019681
560,Privada,Solteiro,549.7001242797866
561,Pública,Solteiro,645.1237596703311
562,Pública,Casado,316.0972780943289
563,Privada,Casado,380.8695875940941
564,Privada,Solteiro,418.9660037162539
565,Privada,Casado,450.9616090636582
566,Pública,Solteiro,558.0290867086879
567,Pública,Solteiro,603.5004341137886
568,Pública,Solteiro,710.2860708750018
569,Pública,Solteiro,549.9944929755964
570,Pública,Solteiro,419.3678765620167
571,Pública,Solteiro,431.27705459524134
572,Pública,Solteiro,611.5545376416288
573,Pública,Solteiro,412.8191596795179
574,Privada,Solteiro,488.70348784456064
575,Pública,Solteiro,425.38202839547785
576,Pública,Casado,477.4958955825728
577,Pública,Casado,496.09216388807954
578,Pública,Solteiro,509.72409795314087
579,Pública,Solteiro,505.25919125382177
580,Pública,Divorciado,490.0760609052921
581,Privada,Solteiro,589.0408707033129
582,Pública,Casado,523.2003692273811
583,Pública,Casado,399.53745039167444
584,Pública,Casado,535.8395881272926
585,Privada,Solteiro,356.4380804512823
586,Pública,Solteiro,595.5543121113132
587,Pública,Solteiro,649.6338734029416
588,Pública,Solteiro,565.1963281138032
589,Pública,Casado,324.62462925810246
590,Pública,Solteiro,458.79305894135666
591,Pública,Solteiro,493.31091443767906
592,Pública,Solteiro,599.9630101401831
593,Pública,Solteiro,604.6140765085381
594,Privada,Casado,562.6048099620959
595,Privada,Solteiro,700.4041716961661
596,Pública,Solteiro,509.7502737215564
597,Pública,Divorciado,508.3937052627949
598,Pública,Solteiro,731.557562992826
599,Pública,Solteiro,400.08070832095507
600,Pública,Solteiro,535.2854552513297
601,Pública,Solteiro,524.2687225641267
602,Pública,Casado,546.2092545734167
603,Privada,Solteiro,459.56441168121694
604,Pública,Solteiro,600.2945848360376
605,Pública,Solteiro,410.4910666814303
606,Pública,Solteiro,657.1515403732813
607,Pública,Divorciado,590.2529270295599
608,Privada,Solteiro,509.9907511476389
609,Pública,Solteiro,612.8553980185707
610,Privada,Solteiro,677.3823682437497
611,Privada,Solteiro,604.4787411736359
612,Pública,Solteiro,335.077364076597
613,Pública,Solteiro,607.3588494146111
614,Pública,Solteiro,524.4853941863613
615,Pública,Solteiro,549.0548597471973
616,Pública,Solteiro,513.3446174030689
617,Pública,Casado,626.1618639935476
618,Pública,Solteiro,666.5783285021026
619,Pública,Casado,585.4758786220162
620,Pública,Casado,667.8933390634988
621,Pública,Solteiro,675.1258089415171
622,Pública,Solteiro,503.42073827979897
623,Pública,Solteiro,360.4327106641442
624,Pública,Casado,742.1523080593604
625,Pública,Solteiro,305.6810168812719
626,Privada,Solteiro,573.9528449253479
627,Pública,Solteiro,707.3710074166905
628,Privada,Solteiro,423.6712132432774
629,Pública,Solteiro,597.8947481377189
630,Privada,Solteiro,615.1689437852795
631,Pública,Solteiro,522.4498365234439
632,Pública,Solteiro,637.6925353185827
633,Pública,Casado,681.1483762058401
634,Pública,Solteiro,454.9111556411344
635,Pública,Solteiro,802.3072534290527
636,Pública,Casado,576.3493508926385
637,Pública,Solteiro,525.9664500092972
638,Pública,Solteiro,506.22892728205
639,Pública,Casado,659.5202807843726
640,Pública,Solteiro,564.7549588036131
641,Pública,Casado,677.9758669155426
642,Pública,Solteiro,335.77578817731285
643,Pública,Solteiro,789.1223768176853
644,Pública,Solteiro,548.1110411943664
645,Pública,Casado,538.4136424490276
646,Pública,Solteiro,506.8613116152873
647,Privada,Divorciado,557.1341375040685
648,Pública,Solteiro,604.5133972116968
649,Privada,Solteiro,516.0971742952894
650,Pública,Solteiro,322.8426524035057
651,Pública,Solteiro,615.751105753743
652,Pública,Solteiro,385.285140474488
653,Pública,Solteiro,380.52923142641134
654,Pública,Solteiro,505.7508410668454
655,Pública,Viúvo,699.3821698106424
656,Privada,Solteiro,779.1102075114251
657,Pública,Solteiro,528.2719497112097
658,Pública,Solteiro,536.1750384348273
659,Pública,Solteiro,548.793617972927
660,Pública,Solteiro,470.70737963193466
661,Pública,Divorciado,531.368455995864
662,Pública,Solteiro,526.8077574566468
663,Pública,Solteiro,340.74427316529443
664,Pública,Solteiro,696.7952397976554
665,Privada,Solteiro,459.2898278581265
666,Pública,Solteiro,606.4432010256348
667,Pública,Casado,802.0785784774147
668,Pública,Solteiro,387.7646629069817
669,Privada,Solteiro,683.5047130104844
670,Pública,Solteiro,553.2002540676364
671,Pública,Solteiro,463.4893470054542
672,Pública,Solteiro,570.5990917339616
673,Pública,Viúvo,403.6104181361634
674,Pública,Divorciado,685.374751052108
675,Pública,Solteiro,480.11939316126484
676,Pública,Solteiro,537.0142230401603
677,Pública,Casado,864.4222276483583
678,Pública,Casado,737.6426831824252
679,Pública,Solteiro,647.9637542716769
680,Pública,Divorciado,455.84900038488115
681,Pública,Solteiro,254.89298724383627
682,Pública,Solteiro,512.0372520572544
683,Pública,Solteiro,408.51435358389404
684,Pública,Solteiro,795.8128968700618
685,Privada,Casado,457.47511920485755
686,Pública,Casado,592.7303679026014
687,Pública,Solteiro,266.932459608832
688,Pública,Divorciado,695.6346859174015
689,Pública,Solteiro,515.5408711567673
690,Pública,Solteiro,430.7575741814303
691,Pública,Divorciado,488.24450547639447
692,Pública,Solteiro,474.14179446542994
693,Privada,Solteiro,364.42755629293913
694,Privada,Solteiro,773.1279733934001
695,Pública,Solteiro,588.8785856374931
696,Privada,Solteiro,518.2072741766963
697,Pública,Solteiro,451.51834627196354
698,Pública,Solteiro,500.65090762469544
699,Pública,Casado,694.9548354310007
700,Pública,Solteiro,586.7336317598682
701,Pública,Solteiro,557.8606591795339
702,Privada,Viúvo,693.2466144855084
703,Pública,Solteiro,477.98791995328145
704,Pública,Solteiro,622.477783872846
705,Pública,Solteiro,375.06314445340684
706,Privada,Solteiro,690.348472035506
707,Pública,Casado,586.9775778901972
708,Privada,Solteiro,638.7077011982012
709,Pública,Divorciado,417.1434060456329
710,Pública,Solteiro,485.96002464316064
711,Pública,Solteiro,687.0596213905467
712,Pública,Casado,669.5899043297879
713,Privada,Solteiro,501.2120989017312
714,Pública,Solteiro,620.091073654369
715,Pública,Solteiro,391.30006033770894
